customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4688-OIGJP,Male,0,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,82.15,1072.65,1
6709-LYGRO,Male,0,No,Yes,49,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),110.19,5410.11,1
3954-FZLKT,Male,0,No,No,63,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,78.99,4965.86,0
8137-CBFXV,Female,0,No,No,19,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),82.33,1557.34,1
1676-YERPH,Female,0,No,No,1,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),81.99,90.39,1
3407-YZTVK,Female,0,No,No,60,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.75,6639.6,1
2937-JXYLU,Female,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,103.29,1268.25,1
2745-FTEWI,Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,81.54,303.55,1
8851-ZPVNV,Male,0,No,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.25,530.67,0
4806-HTSNG,Female,0,Yes,No,65,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,72.59,4718.82,0
1700-ERBKV,Female,0,No,Yes,3,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,64.01,217.2,1
